,Book,Author,Genre,Year Of publication,Average rating,Number of ratings,BookCover Image
46,"Titan: The Life of John D. Rockefeller, Sr. ",Ron Chernow,biography,1997,4.2,13248,https://images.gr-assets.com/books/1386925052s/16121.jpg
47,Thomas Jefferson: The Art of Power ,Jon Meacham,biography,2012,4.0,24807,https://images.gr-assets.com/books/1533134287s/41021344.jpg
48,The Story of My Life ,Helen Keller,biography,1902,4.08,118964,https://images.gr-assets.com/books/1320429331s/821611.jpg
49,Kitchen Confidential: Adventures in the Culinary Underbelly ,Anthony Bourdain,biography,2000,4.05,181770,https://images.gr-assets.com/books/1433739086s/33313.jpg
50,Steve Jobs ,Walter Isaacson,biography,2011,4.12,768288,https://images.gr-assets.com/books/1511288482s/11084145.jpg
51,The Diary of a Young Girl ,Anne Frank,biography,1947,4.12,2342796,https://images.gr-assets.com/books/1537075718s/48855.jpg
52,"Unbroken: A World War II Story of Survival, Resilience and Redemption ",Laura Hillenbrand,biography,2010,4.38,638867,https://images.gr-assets.com/books/1327861115s/8664353.jpg
53,John Adams ,David McCullough,biography,2001,4.05,263746,https://images.gr-assets.com/books/1478144278s/2203.jpg
54,Bossypants ,Tina Fey,biography,2011,3.95,723079,https://images.gr-assets.com/books/1481509554s/9418327.jpg
55,The Immortal Life of Henrietta Lacks ,Rebecca Skloot,biography,2010,4.05,490212,https://images.gr-assets.com/books/1327878144s/6493208.jpg
56,Alexander Hamilton ,Ron Chernow,biography,2004,4.24,85786,https://images.gr-assets.com/books/1436131915s/16130.jpg
57,Einstein: His Life and Universe ,Walter Isaacson,biography,2007,4.09,98148,https://images.gr-assets.com/books/1328011405s/10884.jpg
58,Into the Wild ,Jon Krakauer,biography,1996,3.97,765994,https://images.gr-assets.com/books/1403173986s/1845.jpg
59,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future ",Ashlee Vance,biography,2015,4.23,148658,https://images.gr-assets.com/books/1518291452s/25541028.jpg
60,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban ,Malala Yousafzai,biography,2012,4.1,316498,https://images.gr-assets.com/books/1375414895s/17851885.jpg
61,The Autobiography of Malcolm X ,Malcolm X,biography,1965,4.3,160200,https://images.gr-assets.com/books/1434682864s/92057.jpg
62,Benjamin Franklin: An American Life ,Walter Isaacson,biography,2003,3.98,93932,https://images.gr-assets.com/books/1397772877s/10883.jpg
63,Night ,Elie Wiesel,biography,1958,4.31,841796,https://images.gr-assets.com/books/1473495285s/1617.jpg
64,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character ",Richard Feynman,biography,1985,4.28,124566,https://images.gr-assets.com/books/1504936953s/35167685.jpg
65,Cleopatra: A Life ,Stacy Schiff,biography,2010,3.64,83912,https://images.gr-assets.com/books/1294098301s/7968243.jpg
66,Yes Please ,Amy Poehler,biography,2014,3.82,353339,https://images.gr-assets.com/books/1402815435s/20910157.jpg
67,The Glass Castle ,Jeannette Walls,biography,2005,4.26,765407,https://images.gr-assets.com/books/1523542886s/7445.jpg
68,Team of Rivals: The Political Genius of Abraham Lincoln ,Doris Kearns Goodwin,biography,2005,4.28,128954,https://images.gr-assets.com/books/1347278868s/2199.jpg
69,Angela's Ashes ,Frank McCourt,biography,1996,4.09,477067,https://images.gr-assets.com/books/1348317139s/252577.jpg
70,Catherine the Great: Portrait of a Woman ,Robert K. Massie,biography,2011,3.91,84290,https://images.gr-assets.com/books/1403395276s/10414941.jpg
71,Born a Crime: Stories From a South African Childhood ,Trevor Noah,biography,2016,4.45,180980,https://images.gr-assets.com/books/1473867911s/29780253.jpg
