,Book,Author,Genre,Year Of publication,Average rating,Number of ratings,BookCover Image
364,"Everything, Everything ",Nicola Yoon,contemporary,2015,4.08,267701,https://images.gr-assets.com/books/1450515891s/18692431.jpg
365,Aristotle and Dante Discover the Secrets of the Universe ,Benjamin Alire Sáenz,contemporary,2012,4.34,177415,https://images.gr-assets.com/books/1328320260s/12000020.jpg
366,Lola and the Boy Next Door ,Stephanie Perkins,contemporary,2011,3.98,135075,https://images.gr-assets.com/books/1358271832s/9961796.jpg
367,I'll Give You the Sun ,Jandy Nelson,contemporary,2014,4.13,207907,https://images.gr-assets.com/books/1451382614s/20820994.jpg
368,P.S. I Still Love You ,Jenny Han,contemporary,2015,4.14,134967,https://images.gr-assets.com/books/1422881430s/20698530.jpg
369,All the Bright Places ,Jennifer Niven,contemporary,2015,4.18,209978,https://images.gr-assets.com/books/1404331702s/18460392.jpg
370,An Abundance of Katherines ,John Green,contemporary,2006,3.6,395756,https://images.gr-assets.com/books/1360206426s/49750.jpg
371,Isla and the Happily Ever After ,Stephanie Perkins,contemporary,2014,4.06,92671,https://images.gr-assets.com/books/1362064564s/9627755.jpg
372,Since You've Been Gone ,Morgan Matson,contemporary,2014,4.15,81301,https://images.gr-assets.com/books/1377702326s/18189606.jpg
373,Attachments ,Rainbow Rowell,contemporary,2011,3.92,144646,https://images.gr-assets.com/books/1499377988s/8909152.jpg
374,Gone Girl ,Gillian Flynn,contemporary,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
375,The Curious Incident of the Dog in the Night-Time ,Mark Haddon,contemporary,2003,3.87,1034979,https://images.gr-assets.com/books/1479863624s/1618.jpg
376,My Life Next Door ,Huntley Fitzpatrick,contemporary,2012,4.0,121023,https://images.gr-assets.com/books/1394240144s/12294652.jpg
377,Where She Went ,Gayle Forman,contemporary,2011,4.04,238333,https://images.gr-assets.com/books/1347810457s/8492825.jpg
378,Turtles All the Way Down ,John Green,contemporary,2017,4.0,190353,https://images.gr-assets.com/books/1503002776s/35504431.jpg
379,Amy & Roger's Epic Detour ,Morgan Matson,contemporary,2010,4.02,80162,https://images.gr-assets.com/books/1327989202s/7664334.jpg
380,"Will Grayson, Will Grayson ",John Green,contemporary,2010,3.8,295634,https://images.gr-assets.com/books/1368393890s/6567017.jpg
381,The Sun Is Also a Star ,Nicola Yoon,contemporary,2016,4.1,99603,https://images.gr-assets.com/books/1459793538s/28763485.jpg
382,Wonder ,R.J. Palacio,contemporary,2012,4.45,568162,https://images.gr-assets.com/books/1545695751s/11387515.jpg
383,The DUFF: Designated Ugly Fat Friend ,Kody Keplinger,contemporary,2010,3.84,165231,https://images.gr-assets.com/books/1271108843s/6931356.jpg
384,Before I Fall ,Lauren Oliver,contemporary,2010,3.91,268125,https://images.gr-assets.com/books/1361044695s/6482837.jpg
385,Room ,Emma Donoghue,contemporary,2010,4.05,629941,https://images.gr-assets.com/books/1472239721s/31685789.jpg
386,Landline ,Rainbow Rowell,contemporary,2014,3.55,139855,https://images.gr-assets.com/books/1499378092s/18081809.jpg
387,The Kite Runner ,Khaled Hosseini,contemporary,2003,4.28,2122649,https://images.gr-assets.com/books/1546093833s/77203.jpg
388,Beautiful Disaster ,Jamie McGuire,contemporary,2011,4.12,488830,https://images.gr-assets.com/books/1358259032s/11505797.jpg
389,Speak ,Laurie Halse Anderson,contemporary,1999,4.01,415975,https://images.gr-assets.com/books/1529044298s/39280444.jpg
390,Eleanor Oliphant Is Completely Fine ,Gail Honeyman,contemporary,2017,4.33,314785,https://images.gr-assets.com/books/1493724347s/31434883.jpg
391,The Hating Game ,Sally  Thorne,contemporary,2016,4.22,66745,https://images.gr-assets.com/books/1467138679s/25883848.jpg
392,Eliza and Her Monsters ,Francesca Zappia,contemporary,2017,4.26,27803,https://images.gr-assets.com/books/1476994065s/31931941.jpg
393,The Upside of Unrequited ,Becky Albertalli,contemporary,2017,4.01,42829,https://images.gr-assets.com/books/1487956734s/30653853.jpg
394,The Rosie Project ,Graeme Simsion,contemporary,2013,4.01,369653,https://images.gr-assets.com/books/1371651741s/16181775.jpg
395,Me and Earl and the Dying Girl ,Jesse Andrews,contemporary,2012,3.57,108966,https://images.gr-assets.com/books/1337216932s/12700353.jpg
396,The Lovely Bones ,Alice Sebold,contemporary,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
397,Hopeless ,Colleen Hoover,contemporary,2012,4.31,234396,https://images.gr-assets.com/books/1353489892s/15717943.jpg
398,It Ends with Us ,Colleen Hoover,contemporary,2016,4.41,142798,https://images.gr-assets.com/books/1470427482s/27362503.jpg
399,"Always and Forever, Lara Jean ",Jenny Han,contemporary,2017,4.17,78715,https://images.gr-assets.com/books/1495992139s/35247769.jpg
400,The Girl with the Dragon Tattoo ,Stieg Larsson,crime,2005,4.13,2239151,https://images.gr-assets.com/books/1327868566s/2429135.jpg
401,The Girl Who Played with Fire ,Stieg Larsson,crime,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
402,Gone Girl ,Gillian Flynn,crime,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
403,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,crime,2007,4.22,581756,https://images.gr-assets.com/books/1327708260s/6892870.jpg
404,The Girl on the Train ,Paula Hawkins,crime,2015,3.9,1650345,https://images.gr-assets.com/books/1490903702s/22557272.jpg
405,And Then There Were None ,Agatha Christie,crime,1939,4.25,609121,https://images.gr-assets.com/books/1391120695s/16299.jpg
406,The Cuckoo's Calling ,Robert Galbraith,crime,2013,3.85,410798,https://images.gr-assets.com/books/1540217136s/16160797.jpg
407,In Cold Blood ,Truman Capote,crime,1965,4.06,455943,https://images.gr-assets.com/books/1424931136s/168642.jpg
408,Murder on the Orient Express ,Agatha Christie,crime,1934,4.16,283257,https://images.gr-assets.com/books/1486131451s/853510.jpg
409,A Study in Scarlet ,Arthur Conan Doyle,crime,1887,4.15,264397,https://images.gr-assets.com/books/1519031842s/102868.jpg
410,Sharp Objects ,Gillian Flynn,crime,2006,3.95,495374,https://images.gr-assets.com/books/1475695315s/18045891.jpg
411,Dark Places ,Gillian Flynn,crime,2009,3.93,472311,https://images.gr-assets.com/books/1354988288s/5886881.jpg
412,The Silkworm ,Robert Galbraith,crime,2014,4.04,181296,https://images.gr-assets.com/books/1540217126s/18214414.jpg
413,In the Woods ,Tana French,crime,2007,3.76,246982,https://images.gr-assets.com/books/1538771792s/2459785.jpg
414,The Godfather ,Mario Puzo,crime,1969,4.37,292393,https://images.gr-assets.com/books/1394988109s/22034.jpg
415,The Silence of the Lambs  ,Thomas   Harris,crime,1988,4.17,400650,https://images.gr-assets.com/books/1390426249s/23807.jpg
416,The Hound of the Baskervilles ,Arthur Conan Doyle,crime,1902,4.1,207329,https://images.gr-assets.com/books/1355929358s/8921.jpg
417,The Da Vinci Code ,Dan Brown,crime,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
418,Assuming Names: A Con Artist's Masquerade ,Tanya Thompson,crime,2014,3.51,13034,https://images.gr-assets.com/books/1394851829s/21449526.jpg
419,Red Dragon ,Thomas   Harris,crime,1981,4.03,233780,https://images.gr-assets.com/books/1390284698s/28877.jpg
420,The Big Sleep ,Raymond Chandler,crime,1939,4.01,104497,https://images.gr-assets.com/books/1371584712s/2052.jpg
421,Career of Evil ,Robert Galbraith,crime,2015,4.22,129575,https://images.gr-assets.com/books/1529685910s/40611999.jpg
422,The Murder of Roger Ackroyd ,Agatha Christie,crime,1926,4.23,110680,https://images.gr-assets.com/books/1389734015s/16328.jpg
423,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America ",Erik Larson,crime,2003,3.99,427302,https://images.gr-assets.com/books/1312066724s/21996.jpg
424,The Mysterious Affair at Styles ,Agatha Christie,crime,1920,3.99,195991,https://images.gr-assets.com/books/1386922393s/16343.jpg
425,The Snowman ,Jo Nesbø,crime,2007,4.01,89213,https://images.gr-assets.com/books/1355881478s/9572203.jpg
426,Angels & Demons  ,Dan Brown,crime,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
427,The Adventures of Sherlock Holmes ,Arthur Conan Doyle,crime,1892,4.31,210357,https://images.gr-assets.com/books/1164045516s/3590.jpg
428,Flaggermusmannen ,Jo Nesbø,crime,1997,3.54,66519,https://images.gr-assets.com/books/1236348090s/1991039.jpg
429,Death on the Nile ,Agatha Christie,crime,1937,4.09,92295,https://images.gr-assets.com/books/1486837149s/131359.jpg
430,Darkly Dreaming Dexter ,Jeff Lindsay,crime,2004,3.9,169730,https://images.gr-assets.com/books/1334404607s/17231.jpg
431,The Sign of Four ,Arthur Conan Doyle,crime,1890,3.95,85458,https://images.gr-assets.com/books/1299346921s/608474.jpg
432,Postmortem ,Patricia Cornwell,crime,1990,4.02,190608,https://images.gr-assets.com/books/1341835831s/6534.jpg
433,The Redbreast ,Jo Nesbø,crime,2000,3.92,73290,https://images.gr-assets.com/books/1320540474s/465226.jpg
434,Killing Floor ,Lee Child,crime,1997,4.05,210728,https://images.gr-assets.com/books/1399313258s/78129.jpg
435,The Lovely Bones ,Alice Sebold,crime,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
436,Déjà Dead ,Kathy Reichs,crime,1997,3.87,118099,https://images.gr-assets.com/books/1334157601s/231604.jpg
437,The Surgeon ,Tess Gerritsen,crime,2001,4.1,113521,https://images.gr-assets.com/books/1277923728s/32263.jpg
438,The Black Dahlia ,James Ellroy,crime,1987,3.75,72523,https://images.gr-assets.com/books/1387048173s/21704.jpg
439,The Black Echo ,Michael Connelly,crime,1992,4.09,131206,https://images.gr-assets.com/books/1344265342s/32508.jpg
440,The A.B.C. Murders ,Agatha Christie,crime,1936,4.0,73351,https://images.gr-assets.com/books/1389733983s/16322.jpg
441,Along Came a Spider ,James Patterson,crime,1993,4.1,358198,https://images.gr-assets.com/books/1388272560s/13145.jpg
442,Mr. Mercedes ,Stephen King,crime,2014,3.95,187926,https://images.gr-assets.com/books/1468705326s/18775247.jpg
443,Rivers of London ,Ben Aaronovitch,crime,2011,3.92,64582,https://images.gr-assets.com/books/1401385034s/9317452.jpg
444,Faceless Killers ,Henning Mankell,crime,1991,3.77,57503,https://images.gr-assets.com/books/1487941867s/935308.jpg
445,The Dry ,Jane Harper,crime,2016,4.04,98332,https://images.gr-assets.com/books/1456113132s/27824826.jpg
446,Crime and Punishment ,Fyodor Dostoyevsky,crime,1866,4.2,522230,https://images.gr-assets.com/books/1382846449s/7144.jpg
447,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer ,Michelle McNamara,crime,2018,4.2,72738,https://images.gr-assets.com/books/1499131009s/35068432.jpg
448,A Time to Kill ,John Grisham,crime,1989,4.05,652187,https://images.gr-assets.com/books/1390195915s/32542.jpg
449,Helter Skelter: The True Story of the Manson Murders ,Vincent Bugliosi,crime,1974,4.02,108914,https://images.gr-assets.com/books/1347694754s/105992.jpg
450,The Girl with the Dragon Tattoo ,Stieg Larsson,crime,2005,4.13,2239151,https://images.gr-assets.com/books/1327868566s/2429135.jpg
451,The Girl Who Played with Fire ,Stieg Larsson,crime,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
452,Gone Girl ,Gillian Flynn,crime,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
453,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,crime,2007,4.22,581756,https://images.gr-assets.com/books/1327708260s/6892870.jpg
454,The Girl on the Train ,Paula Hawkins,crime,2015,3.9,1650345,https://images.gr-assets.com/books/1490903702s/22557272.jpg
455,And Then There Were None ,Agatha Christie,crime,1939,4.25,609121,https://images.gr-assets.com/books/1391120695s/16299.jpg
456,The Cuckoo's Calling ,Robert Galbraith,crime,2013,3.85,410798,https://images.gr-assets.com/books/1540217136s/16160797.jpg
457,In Cold Blood ,Truman Capote,crime,1965,4.06,455943,https://images.gr-assets.com/books/1424931136s/168642.jpg
458,Murder on the Orient Express ,Agatha Christie,crime,1934,4.16,283257,https://images.gr-assets.com/books/1486131451s/853510.jpg
459,A Study in Scarlet ,Arthur Conan Doyle,crime,1887,4.15,264397,https://images.gr-assets.com/books/1519031842s/102868.jpg
460,Sharp Objects ,Gillian Flynn,crime,2006,3.95,495374,https://images.gr-assets.com/books/1475695315s/18045891.jpg
461,Dark Places ,Gillian Flynn,crime,2009,3.93,472311,https://images.gr-assets.com/books/1354988288s/5886881.jpg
462,The Silkworm ,Robert Galbraith,crime,2014,4.04,181296,https://images.gr-assets.com/books/1540217126s/18214414.jpg
463,In the Woods ,Tana French,crime,2007,3.76,246982,https://images.gr-assets.com/books/1538771792s/2459785.jpg
464,The Godfather ,Mario Puzo,crime,1969,4.37,292393,https://images.gr-assets.com/books/1394988109s/22034.jpg
465,The Silence of the Lambs  ,Thomas   Harris,crime,1988,4.17,400650,https://images.gr-assets.com/books/1390426249s/23807.jpg
466,The Hound of the Baskervilles ,Arthur Conan Doyle,crime,1902,4.1,207329,https://images.gr-assets.com/books/1355929358s/8921.jpg
467,The Da Vinci Code ,Dan Brown,crime,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
468,Assuming Names: A Con Artist's Masquerade ,Tanya Thompson,crime,2014,3.51,13034,https://images.gr-assets.com/books/1394851829s/21449526.jpg
469,Red Dragon ,Thomas   Harris,crime,1981,4.03,233780,https://images.gr-assets.com/books/1390284698s/28877.jpg
470,The Big Sleep ,Raymond Chandler,crime,1939,4.01,104497,https://images.gr-assets.com/books/1371584712s/2052.jpg
471,Career of Evil ,Robert Galbraith,crime,2015,4.22,129575,https://images.gr-assets.com/books/1529685910s/40611999.jpg
472,The Murder of Roger Ackroyd ,Agatha Christie,crime,1926,4.23,110680,https://images.gr-assets.com/books/1389734015s/16328.jpg
473,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America ",Erik Larson,crime,2003,3.99,427302,https://images.gr-assets.com/books/1312066724s/21996.jpg
474,The Mysterious Affair at Styles ,Agatha Christie,crime,1920,3.99,195991,https://images.gr-assets.com/books/1386922393s/16343.jpg
475,The Snowman ,Jo Nesbø,crime,2007,4.01,89213,https://images.gr-assets.com/books/1355881478s/9572203.jpg
476,Angels & Demons  ,Dan Brown,crime,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
477,The Adventures of Sherlock Holmes ,Arthur Conan Doyle,crime,1892,4.31,210357,https://images.gr-assets.com/books/1164045516s/3590.jpg
478,Flaggermusmannen ,Jo Nesbø,crime,1997,3.54,66519,https://images.gr-assets.com/books/1236348090s/1991039.jpg
479,Death on the Nile ,Agatha Christie,crime,1937,4.09,92295,https://images.gr-assets.com/books/1486837149s/131359.jpg
480,Darkly Dreaming Dexter ,Jeff Lindsay,crime,2004,3.9,169730,https://images.gr-assets.com/books/1334404607s/17231.jpg
481,The Sign of Four ,Arthur Conan Doyle,crime,1890,3.95,85458,https://images.gr-assets.com/books/1299346921s/608474.jpg
482,Postmortem ,Patricia Cornwell,crime,1990,4.02,190608,https://images.gr-assets.com/books/1341835831s/6534.jpg
483,The Redbreast ,Jo Nesbø,crime,2000,3.92,73290,https://images.gr-assets.com/books/1320540474s/465226.jpg
484,Killing Floor ,Lee Child,crime,1997,4.05,210728,https://images.gr-assets.com/books/1399313258s/78129.jpg
485,The Lovely Bones ,Alice Sebold,crime,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
486,Déjà Dead ,Kathy Reichs,crime,1997,3.87,118099,https://images.gr-assets.com/books/1334157601s/231604.jpg
487,The Surgeon ,Tess Gerritsen,crime,2001,4.1,113521,https://images.gr-assets.com/books/1277923728s/32263.jpg
488,The Black Dahlia ,James Ellroy,crime,1987,3.75,72523,https://images.gr-assets.com/books/1387048173s/21704.jpg
489,The Black Echo ,Michael Connelly,crime,1992,4.09,131206,https://images.gr-assets.com/books/1344265342s/32508.jpg
490,The A.B.C. Murders ,Agatha Christie,crime,1936,4.0,73351,https://images.gr-assets.com/books/1389733983s/16322.jpg
491,Along Came a Spider ,James Patterson,crime,1993,4.1,358198,https://images.gr-assets.com/books/1388272560s/13145.jpg
492,Mr. Mercedes ,Stephen King,crime,2014,3.95,187926,https://images.gr-assets.com/books/1468705326s/18775247.jpg
493,Rivers of London ,Ben Aaronovitch,crime,2011,3.92,64582,https://images.gr-assets.com/books/1401385034s/9317452.jpg
494,Faceless Killers ,Henning Mankell,crime,1991,3.77,57503,https://images.gr-assets.com/books/1487941867s/935308.jpg
495,The Dry ,Jane Harper,crime,2016,4.04,98332,https://images.gr-assets.com/books/1456113132s/27824826.jpg
496,Crime and Punishment ,Fyodor Dostoyevsky,crime,1866,4.2,522230,https://images.gr-assets.com/books/1382846449s/7144.jpg
497,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer ,Michelle McNamara,crime,2018,4.2,72738,https://images.gr-assets.com/books/1499131009s/35068432.jpg
498,A Time to Kill ,John Grisham,crime,1989,4.05,652187,https://images.gr-assets.com/books/1390195915s/32542.jpg
499,Helter Skelter: The True Story of the Manson Murders ,Vincent Bugliosi,crime,1974,4.02,108914,https://images.gr-assets.com/books/1347694754s/105992.jpg
500,The Girl with the Dragon Tattoo ,Stieg Larsson,crime,2005,4.13,2239151,https://images.gr-assets.com/books/1327868566s/2429135.jpg
501,The Girl Who Played with Fire ,Stieg Larsson,crime,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
502,Gone Girl ,Gillian Flynn,crime,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
503,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,crime,2007,4.22,581756,https://images.gr-assets.com/books/1327708260s/6892870.jpg
504,The Girl on the Train ,Paula Hawkins,crime,2015,3.9,1650345,https://images.gr-assets.com/books/1490903702s/22557272.jpg
505,And Then There Were None ,Agatha Christie,crime,1939,4.25,609121,https://images.gr-assets.com/books/1391120695s/16299.jpg
506,The Cuckoo's Calling ,Robert Galbraith,crime,2013,3.85,410798,https://images.gr-assets.com/books/1540217136s/16160797.jpg
507,In Cold Blood ,Truman Capote,crime,1965,4.06,455943,https://images.gr-assets.com/books/1424931136s/168642.jpg
508,Murder on the Orient Express ,Agatha Christie,crime,1934,4.16,283257,https://images.gr-assets.com/books/1486131451s/853510.jpg
509,A Study in Scarlet ,Arthur Conan Doyle,crime,1887,4.15,264397,https://images.gr-assets.com/books/1519031842s/102868.jpg
510,Sharp Objects ,Gillian Flynn,crime,2006,3.95,495374,https://images.gr-assets.com/books/1475695315s/18045891.jpg
511,Dark Places ,Gillian Flynn,crime,2009,3.93,472311,https://images.gr-assets.com/books/1354988288s/5886881.jpg
512,The Silkworm ,Robert Galbraith,crime,2014,4.04,181296,https://images.gr-assets.com/books/1540217126s/18214414.jpg
513,In the Woods ,Tana French,crime,2007,3.76,246982,https://images.gr-assets.com/books/1538771792s/2459785.jpg
514,The Godfather ,Mario Puzo,crime,1969,4.37,292393,https://images.gr-assets.com/books/1394988109s/22034.jpg
515,The Silence of the Lambs  ,Thomas   Harris,crime,1988,4.17,400650,https://images.gr-assets.com/books/1390426249s/23807.jpg
516,The Hound of the Baskervilles ,Arthur Conan Doyle,crime,1902,4.1,207329,https://images.gr-assets.com/books/1355929358s/8921.jpg
517,The Da Vinci Code ,Dan Brown,crime,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
518,Assuming Names: A Con Artist's Masquerade ,Tanya Thompson,crime,2014,3.51,13034,https://images.gr-assets.com/books/1394851829s/21449526.jpg
519,Red Dragon ,Thomas   Harris,crime,1981,4.03,233780,https://images.gr-assets.com/books/1390284698s/28877.jpg
520,The Big Sleep ,Raymond Chandler,crime,1939,4.01,104497,https://images.gr-assets.com/books/1371584712s/2052.jpg
521,Career of Evil ,Robert Galbraith,crime,2015,4.22,129575,https://images.gr-assets.com/books/1529685910s/40611999.jpg
522,The Murder of Roger Ackroyd ,Agatha Christie,crime,1926,4.23,110680,https://images.gr-assets.com/books/1389734015s/16328.jpg
523,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America ",Erik Larson,crime,2003,3.99,427302,https://images.gr-assets.com/books/1312066724s/21996.jpg
524,The Mysterious Affair at Styles ,Agatha Christie,crime,1920,3.99,195991,https://images.gr-assets.com/books/1386922393s/16343.jpg
525,The Snowman ,Jo Nesbø,crime,2007,4.01,89213,https://images.gr-assets.com/books/1355881478s/9572203.jpg
526,Angels & Demons  ,Dan Brown,crime,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
527,The Adventures of Sherlock Holmes ,Arthur Conan Doyle,crime,1892,4.31,210357,https://images.gr-assets.com/books/1164045516s/3590.jpg
528,Flaggermusmannen ,Jo Nesbø,crime,1997,3.54,66519,https://images.gr-assets.com/books/1236348090s/1991039.jpg
529,Death on the Nile ,Agatha Christie,crime,1937,4.09,92295,https://images.gr-assets.com/books/1486837149s/131359.jpg
530,Darkly Dreaming Dexter ,Jeff Lindsay,crime,2004,3.9,169730,https://images.gr-assets.com/books/1334404607s/17231.jpg
531,The Sign of Four ,Arthur Conan Doyle,crime,1890,3.95,85458,https://images.gr-assets.com/books/1299346921s/608474.jpg
532,Postmortem ,Patricia Cornwell,crime,1990,4.02,190608,https://images.gr-assets.com/books/1341835831s/6534.jpg
533,The Redbreast ,Jo Nesbø,crime,2000,3.92,73290,https://images.gr-assets.com/books/1320540474s/465226.jpg
534,Killing Floor ,Lee Child,crime,1997,4.05,210728,https://images.gr-assets.com/books/1399313258s/78129.jpg
535,The Lovely Bones ,Alice Sebold,crime,2002,3.79,1812446,https://images.gr-assets.com/books/1457810586s/12232938.jpg
536,Déjà Dead ,Kathy Reichs,crime,1997,3.87,118099,https://images.gr-assets.com/books/1334157601s/231604.jpg
537,The Surgeon ,Tess Gerritsen,crime,2001,4.1,113521,https://images.gr-assets.com/books/1277923728s/32263.jpg
538,The Black Dahlia ,James Ellroy,crime,1987,3.75,72523,https://images.gr-assets.com/books/1387048173s/21704.jpg
539,The Black Echo ,Michael Connelly,crime,1992,4.09,131206,https://images.gr-assets.com/books/1344265342s/32508.jpg
540,The A.B.C. Murders ,Agatha Christie,crime,1936,4.0,73351,https://images.gr-assets.com/books/1389733983s/16322.jpg
541,Along Came a Spider ,James Patterson,crime,1993,4.1,358198,https://images.gr-assets.com/books/1388272560s/13145.jpg
542,Mr. Mercedes ,Stephen King,crime,2014,3.95,187926,https://images.gr-assets.com/books/1468705326s/18775247.jpg
543,Rivers of London ,Ben Aaronovitch,crime,2011,3.92,64582,https://images.gr-assets.com/books/1401385034s/9317452.jpg
544,Faceless Killers ,Henning Mankell,crime,1991,3.77,57503,https://images.gr-assets.com/books/1487941867s/935308.jpg
545,The Dry ,Jane Harper,crime,2016,4.04,98332,https://images.gr-assets.com/books/1456113132s/27824826.jpg
546,Crime and Punishment ,Fyodor Dostoyevsky,crime,1866,4.2,522230,https://images.gr-assets.com/books/1382846449s/7144.jpg
547,I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer ,Michelle McNamara,crime,2018,4.2,72738,https://images.gr-assets.com/books/1499131009s/35068432.jpg
548,A Time to Kill ,John Grisham,crime,1989,4.05,652187,https://images.gr-assets.com/books/1390195915s/32542.jpg
549,Helter Skelter: The True Story of the Manson Murders ,Vincent Bugliosi,crime,1974,4.02,108914,https://images.gr-assets.com/books/1347694754s/105992.jpg
550,The Girl with the Dragon Tattoo ,Stieg Larsson,crime,2005,4.13,2239151,https://images.gr-assets.com/books/1327868566s/2429135.jpg
551,The Girl Who Played with Fire ,Stieg Larsson,crime,2006,4.23,733437,https://images.gr-assets.com/books/1351778881s/5060378.jpg
552,Gone Girl ,Gillian Flynn,crime,2012,4.06,1918791,https://images.gr-assets.com/books/1397056917s/19288043.jpg
553,The Girl Who Kicked the Hornet's Nest ,Stieg Larsson,crime,2007,4.22,581756,https://images.gr-assets.com/books/1327708260s/6892870.jpg
554,The Girl on the Train ,Paula Hawkins,crime,2015,3.9,1650345,https://images.gr-assets.com/books/1490903702s/22557272.jpg
555,And Then There Were None ,Agatha Christie,crime,1939,4.25,609121,https://images.gr-assets.com/books/1391120695s/16299.jpg
556,The Cuckoo's Calling ,Robert Galbraith,crime,2013,3.85,410798,https://images.gr-assets.com/books/1540217136s/16160797.jpg
557,In Cold Blood ,Truman Capote,crime,1965,4.06,455943,https://images.gr-assets.com/books/1424931136s/168642.jpg
558,Murder on the Orient Express ,Agatha Christie,crime,1934,4.16,283257,https://images.gr-assets.com/books/1486131451s/853510.jpg
559,A Study in Scarlet ,Arthur Conan Doyle,crime,1887,4.15,264397,https://images.gr-assets.com/books/1519031842s/102868.jpg
560,Sharp Objects ,Gillian Flynn,crime,2006,3.95,495374,https://images.gr-assets.com/books/1475695315s/18045891.jpg
561,Dark Places ,Gillian Flynn,crime,2009,3.93,472311,https://images.gr-assets.com/books/1354988288s/5886881.jpg
562,The Silkworm ,Robert Galbraith,crime,2014,4.04,181296,https://images.gr-assets.com/books/1540217126s/18214414.jpg
563,In the Woods ,Tana French,crime,2007,3.76,246982,https://images.gr-assets.com/books/1538771792s/2459785.jpg
564,The Godfather ,Mario Puzo,crime,1969,4.37,292393,https://images.gr-assets.com/books/1394988109s/22034.jpg
565,The Silence of the Lambs  ,Thomas   Harris,crime,1988,4.17,400650,https://images.gr-assets.com/books/1390426249s/23807.jpg
566,The Hound of the Baskervilles ,Arthur Conan Doyle,crime,1902,4.1,207329,https://images.gr-assets.com/books/1355929358s/8921.jpg
567,The Da Vinci Code ,Dan Brown,crime,2003,3.82,1697244,https://images.gr-assets.com/books/1546100524s/968.jpg
568,Assuming Names: A Con Artist's Masquerade ,Tanya Thompson,crime,2014,3.51,13034,https://images.gr-assets.com/books/1394851829s/21449526.jpg
569,Red Dragon ,Thomas   Harris,crime,1981,4.03,233780,https://images.gr-assets.com/books/1390284698s/28877.jpg
570,The Big Sleep ,Raymond Chandler,crime,1939,4.01,104497,https://images.gr-assets.com/books/1371584712s/2052.jpg
571,Career of Evil ,Robert Galbraith,crime,2015,4.22,129575,https://images.gr-assets.com/books/1529685910s/40611999.jpg
572,The Murder of Roger Ackroyd ,Agatha Christie,crime,1926,4.23,110680,https://images.gr-assets.com/books/1389734015s/16328.jpg
573,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America ",Erik Larson,crime,2003,3.99,427302,https://images.gr-assets.com/books/1312066724s/21996.jpg
574,The Mysterious Affair at Styles ,Agatha Christie,crime,1920,3.99,195991,https://images.gr-assets.com/books/1386922393s/16343.jpg
575,The Snowman ,Jo Nesbø,crime,2007,4.01,89213,https://images.gr-assets.com/books/1355881478s/9572203.jpg
576,Angels & Demons  ,Dan Brown,crime,2000,3.88,2343098,https://images.gr-assets.com/books/1527091700s/960.jpg
577,The Adventures of Sherlock Holmes ,Arthur Conan Doyle,crime,1892,4.31,210357,https://images.gr-assets.com/books/1164045516s/3590.jpg
578,Flaggermusmannen ,Jo Nesbø,crime,1997,3.54,66519,https://images.gr-assets.com/books/1236348090s/1991039.jpg
579,Death on the Nile ,Agatha Christie,crime,1937,4.09,92295,https://images.gr-assets.com/books/1486837149s/131359.jpg
580,Darkly Dreaming Dexter ,Jeff Lindsay,crime,2004,3.9,169730,https://images.gr-assets.com/books/1334404607s/17231.jpg
581,The Sign of Four ,Arthur Conan Doyle,crime,1890,3.95,85458,https://images.gr-assets.com/books/1299346921s/608474.jpg
582,Postmortem ,Patricia Cornwell,crime,1990,4.02,190608,https://images.gr-assets.com/books/1341835831s/6534.jpg
583,The Redbreast ,Jo Nesbø,crime,2000,3.92,73290,https://images.gr-assets.com/books/1320540474s/465226.jpg
